,t,N_pump,p_pump,eta_pump,tau_pump,tau_turbine,T_gg_comb,Pcc_gg,MR_gg,dp_dt_gg,m_dot_gg_inj_fu,m_dot_gg_inj_ox,p_gg_inj_ox,p_gg_inj_fu,T_me_comb,Pcc_me,MR_me,dp_dt_me,m_dot_me_inj_fu,m_dot_me_inj_ox,p_me_inj_ox,p_me_inj_fu,m_dot_gg_mov,m_dot_gg_mfv,m_dot_me_mov,m_dot_me_mfv
73,[0.05525435],[2405.18517604],3000000.0,[0.],[1.76771041e-09],[0.45774358],1454.0782938481966,[479539.775493],[2.27549586],[1.08827726e+08],[0.00436736],[0.00993791],[1150600.92837568],[612136.01264914],0,100000.0,0,0,0,0,[100000.],[100000.],[0.11032575],[0.08610627],[0.],[0.]
74,[0.05528025],[2405.18517604],3000000.0,[0.],[1.79666971e-09],[0.46386254],1450.1503892689723,[482383.65993472],[2.26934867],[1.09285673e+08],[0.00440315],[0.00999228],[1160693.9222779],[617078.67170306],0,100000.0,0,0,0,0,[100000.],[100000.],[0.11131366],[0.08689013],[0.],[0.]
75,[0.0553059],[2405.18517604],3000000.0,[0.],[1.82574575e-09],[0.46998135],1446.2683228544915,[485213.19844934],[2.26329379],[1.09741429e+08],[0.00443886],[0.01004644],[1170784.89788785],[622019.67072175],0,100000.0,0,0,0,0,[100000.],[100000.],[0.1122896],[0.08766496],[0.],[0.]
76,[0.05533133],[2405.18517604],3000000.0,[0.],[1.85493973e-09],[0.47610016],1442.4328766219994,[488028.92083797],[2.25733152],[1.10194959e+08],[0.00447449],[0.0101004],[1180873.91297896],[626959.08703496],0,100000.0,0,0,0,0,[100000.],[100000.],[0.11325367],[0.08843084],[0.],[0.]
77,[0.05535655],[2405.18517604],3000000.0,[0.],[1.88425287e-09],[0.48221911],1438.6446635894422,[490831.33409978],[2.25146193],[1.10646231e+08],[0.00451003],[0.01015415],[1190961.0229101],[631896.9952516],0,100000.0,0,0,0,0,[100000.],[100000.],[0.11420599],[0.08918785],[0.],[0.]
78,[0.05538155],[2405.18517604],3000000.0,[0.],[1.91368635e-09],[0.48833833],1434.9041455243014,[493620.9237564],[2.24568482],[1.11095218e+08],[0.00454547],[0.0102077],[1201046.28075811],[636833.46739457],0,100000.0,0,0,0,0,[100000.],[100000.],[0.11514667],[0.08993609],[0.],[0.]
79,[0.05540634],[2405.18517604],3000000.0,[0.],[1.94324135e-09],[0.49445796],1431.2116491263841,[496398.15508052],[2.23999985],[1.11541892e+08],[0.00458083],[0.01026105],[1211129.73744137],[641768.57302771],0,100000.0,0,0,0,0,[100000.],[100000.],[0.1160758],[0.09067562],[0.],[0.]
80,[0.05543093],[2405.18517604],3000000.0,[0.],[1.97291904e-09],[0.50057812],1427.5673804110777,[499163.47423716],[2.23440647],[1.11986233e+08],[0.00461608],[0.0103142],[1221211.44183504],[646702.37937524],0,100000.0,0,0,0,0,[100000.],[100000.],[0.1169935],[0.09140654],[0.],[0.]
81,[0.05545532],[2405.18517604],3000000.0,[0.],[2.00272058e-09],[0.50668555],[1423.8462996],[501917.30934461],[2.22890403],[1.12420378e+08],[0.00465123],[0.01036714],[1231291.44087873],[651634.95143432],0,100000.0,0,0,0,0,[100000.],[100000.],[0.11789987],[0.09212892],[0.],[0.]
82,[0.05547953],[2405.18517604],3000000.0,[0.],[2.03264631e-09],[0.51280447],[1420.27760779],[504659.88013539],[2.22349055],[1.12858674e+08],[0.00468627],[0.01041988],[1241369.77954957],[656566.35191053],0,100000.0,0,0,0,0,[100000.],[100000.],[0.11879501],[0.09284283],[0.],[0.]
83,[0.05550355],[2405.18517604],3000000.0,[0.],[2.06269802e-09],[0.51892531],[1416.76746372],[507391.74239898],[2.21816617],[1.13295231e+08],[0.00472121],[0.01047242],[1251446.50132235],[661496.6417002],0,100000.0,0,0,0,0,[100000.],[100000.],[0.11967902],[0.09354836],[0.],[0.]
