,P,MR,Cv,Cp,T,R
1456,3611111.111111111,0.9343434343434344,1792.07781997111,2293.870206187541,1211.6545869487124,501.7923862164309
1457,3666666.6666666665,0.9343434343434344,1792.7214360063072,2294.219133631399,1212.7183445730088,501.497697625092
1458,3722222.222222222,0.9343434343434344,1793.3568240323111,2294.5638591481516,1213.767545589941,501.2070351158406
1459,3777777.7777777775,0.9343434343434344,1793.9842066472393,2294.9044949679396,1214.802598531886,500.9202883207006
1460,3833333.3333333335,0.9343434343434344,1794.6037970373884,2295.241148069245,1215.8238943059455,500.63735103185644
1461,3888888.888888889,0.9343434343434344,1795.2157999785304,2295.573921364032,1216.8318080021807,500.3581213855012
1462,3944444.4444444445,0.9343434343434344,1795.8204119652773,2295.9029136119093,1217.8266991786188,500.0825016466322
1463,4000000.0,0.9343434343434344,1796.417821738935,2296.2282196866304,1218.8089128595147,499.81039794769555
1464,4055555.5555555555,0.9343434343434344,1797.0082106962036,2296.5499307815503,1219.77878031489,499.5417200853466
1465,4111111.111111111,0.9343434343434344,1797.5917532710055,2296.8681346014887,1220.7366197881233,499.2763813304837
1466,4166666.6666666665,0.9343434343434344,1798.1686172916836,2297.1829155421615,1221.682737176054,499.0142982504782
1467,4222222.222222222,0.9343434343434344,1798.7389643152962,2297.4943548580345,1222.6174266647902,498.7553905427382
1468,4277777.777777778,0.9343434343434344,1799.3029499534757,2297.8025308252913,1223.5409713380293,498.49958087181545
1469,4333333.333333334,0.9343434343434344,1799.8607240614174,2298.107518831303,1224.4536435950906,498.2467947698853
1470,4388888.888888889,0.9343434343434344,1800.4124313102814,2298.409391689585,1225.3557061074935,497.9969603793037
1471,4444444.444444444,0.9343434343434344,1800.958211058386,2298.7082195298844,1226.2474117170088,497.75000847149835
1472,4500000.0,0.9343434343434344,1801.4981978406377,2299.004070079336,1227.1290042380251,497.50587223869843
1473,4555555.555555556,0.9343434343434344,1802.0325215209623,2299.297008716119,1228.0007189575,497.2644871951562
1474,4611111.111111111,0.9343434343434344,1802.561307536413,2299.587098610813,1228.8627827902121,497.02579107439965
1475,4666666.666666666,0.9343434343434344,1803.084677081055,2299.8744008074414,1229.715414838686,496.7897237263863
1476,4722222.222222222,0.9343434343434344,1803.6027473023667,2300.158974324161,1230.558826709009,496.5562270217944
1477,4777777.777777778,0.9343434343434344,1804.115631482152,2300.4408762439034,1231.3932228517801,496.32524476175155
1478,4833333.333333333,0.9343434343434344,1804.6234392072336,2300.720161799852,1232.2188008839062,496.0967225926186
1479,4888888.888888889,0.9343434343434344,1805.1262765310269,2300.9968844564055,1233.0357518921396,495.8706079253787
1480,4944444.444444444,0.9343434343434344,1805.624246122677,2301.2710959901256,1233.8442607445493,495.6468498674487
1481,5000000.0,0.9343434343434344,1806.1174474184272,2301.5428465490886,1234.6445063019587,495.42539913066173
1482,5055555.555555555,0.9343434343434344,1806.6059767539928,2301.812184733716,1235.4366617235864,495.2062079797233
1483,5111111.111111111,0.9343434343434344,1807.0899274951357,2302.079157653926,1236.2208946845417,494.9892301587901
1484,5166666.666666667,0.9343434343434344,1807.5693901775087,2302.343810954025,1236.9973674440655,494.7744207765159
1485,5222222.222222222,0.9343434343434344,1808.044452547646,2302.6061890321903,1237.7662377806423,494.5617364845442
1486,5277777.777777778,0.9343434343434344,1808.51519978648,2302.8663348576843,1238.52765813355,494.351135071204
1487,5333333.333333333,0.9343434343434344,1808.9817145410595,2303.124290176592,1239.2817764861725,494.1425756355322
1488,5388888.888888889,0.9343434343434344,1809.4440770409117,2303.3800955264346,1240.0287363952082,493.9360184855227
1489,5444444.444444444,0.9343434343434344,1809.9023651954612,2303.6337902766454,1240.7686771368844,493.7314250811839
1490,5500000.0,0.9343434343434344,1810.3566546802256,2303.8854126836063,1241.5017339194544,493.52875800338063
1491,5555555.555555555,0.9343434343434344,1810.8070190246367,2304.134999926907,1242.2280380145567,493.3279809022699
1492,5611111.111111111,0.9343434343434344,1811.2535296948445,2304.382588152712,1242.9477169162221,493.1290584578672
1493,5666666.666666667,0.9343434343434344,1811.696256167683,2304.62821250971,1243.6608944854831,492.93195634202664
1494,5722222.222222222,0.9343434343434344,1812.1352660086093,2304.871907189807,1244.3676910884797,492.73664118119797
1495,5777777.777777778,0.9343434343434344,1812.5706249394811,2305.113705460183,1245.0682237275942,492.5430805207015
1496,5833333.333333333,0.9343434343434344,1813.0023969094914,2305.353639701355,1245.7626061669332,492.3512427918635
1497,5888888.888888889,0.9343434343434344,1813.4306441547335,2305.591741433501,1246.4509490513835,492.16109727876756
1498,5944444.444444444,0.9343434343434344,1813.855427262682,2305.8280413509556,1247.1333600207686,491.9726140882734
1499,6000000.0,0.9343434343434344,1814.2768052300364,2306.0625693505453,1247.8099438185368,491.78576412050876
1500,500000.0,0.9939393939393939,1686.2211408215219,2216.139762278615,1099.7186292874742,529.9186214570931
1501,555555.5555555555,0.9939393939393939,1689.3864369101154,2217.8871936829782,1105.7663279402766,528.5007567728628
